race_id,date,venue,venue_code,race_no,horse_code,horse_name,distance,condition,rail,field_size,gate,draw_weight_lb,horse_weight_kg,jockey,finish_position,finish_time,asr,true_speed_ms,fap,edi,fi,pa,has_section_times,n_sections,section_times_json,position_calls_json,top3,weight_vs_field_avg,days_since_last,hist_avg_finish_pos,hist_best_finish_pos,hist_win_rate,hist_place_rate,n_races_same_venue,n_races_similar_dist,last_finish_pos,last_asr,dist_change,weight_change,n_history_races,jockey_win_rate,jockey_place_rate,jockey_n_rides,gate_x_venue,weight_x_distance,hist_asr_mean,hist_asr_std,hist_asr_trend,hist_speed_mean,hist_speed_std,hist_speed_trend,hist_fap_mean,hist_fap_std,hist_fap_trend,hist_fi_mean,hist_fi_std,hist_edi_mean,hist_pa_mean,racing_style,peak_speed_ms,finishing_burst,speed_decay_rate,max_acceleration,kinetic_energy_index,weight_efficiency,power_output_watts,turn_penalty_ms,draw_extra_distance_m,positioning_cost,drafting_factor,form_trend,freshness,distance_aptitude_ms,track_affinity_ms,dist_avg_finish,dist_place_rate,last_speed_ms,last_fap,venue_avg_finish,venue_place_rate
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,J459,鐵甲驌龍,1600,GOOD,B+2,14,10,129.0,1134,鍾易禮,1,95.36,167.84976768198248,16.79,-0.61,96.22,96.98,0.5564,1,4,"[24.57, 22.38, 23.99, 24.42]","[5, 3, 3, 1]",1,3.785714285714292,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,206.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,H332,極速之子,1600,GOOD,B+2,14,2,117.0,1070,巴度,2,95.38,168.58880268400085,16.8208,-0.37,95.97,100.0,0.5524,1,4,"[25.25, 22.54, 23.67, 23.92]","[12, 12, 10, 2]",1,-8.214285714285708,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,187.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,J115,快樂老撾,1600,GOOD,B+2,14,8,127.0,1198,霍宏聲,3,95.4,167.90840187066598,16.8172,-0.04,96.07,99.71,0.5521,1,4,"[25.13, 22.5, 23.87, 23.9]","[11, 11, 11, 3]",1,1.7857142857142918,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,H419,威威父子,1600,GOOD,B+2,14,14,129.0,1010,潘頓,4,95.44,167.70907215165388,16.823,-0.17,95.7,100.0,0.5505,1,4,"[25.49, 22.58, 23.63, 23.74]","[14, 14, 13, 4]",0,3.785714285714292,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,206.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,K110,肥仔精神,1600,GOOD,B+2,14,9,132.0,1168,艾道拿,5,95.46,167.48053957356282,16.7695,-1.12,95.99,95.98,0.5583,1,4,"[24.41, 22.34, 23.95, 24.76]","[2, 2, 1, 5]",0,6.785714285714292,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,211.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,H027,武林至尊,1600,GOOD,B+2,14,7,115.0,1114,班德禮,6,95.48,168.5411362830718,16.8174,0.01,96.06,100.0,0.5505,1,4,"[25.29, 22.62, 23.79, 23.78]","[13, 13, 14, 6]",0,-10.214285714285708,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,H002,熊噹噹,1600,GOOD,B+2,14,4,132.0,1247,何澤堯,7,95.49,167.4279223760845,16.7885,-0.51,96.61,97.87,0.5546,1,4,"[24.65, 22.58, 23.95, 24.31]","[7, 7, 6, 7]",0,6.785714285714292,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,211.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,J269,龍又生,1600,GOOD,B+2,14,6,125.0,1007,潘大衛,8,95.62,167.6507972261998,16.7728,-0.87,95.89,98.42,0.5542,1,4,"[25.01, 22.42, 23.79, 24.4]","[9, 8, 7, 8]",0,-0.2142857142857082,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,J538,常多笑,1600,GOOD,B+2,14,1,129.0,1040,梁家俊,9,96.5,165.8668792347549,16.6114,-1.99,95.54,95.7,0.5552,1,4,"[24.65, 22.54, 23.91, 25.4]","[6, 6, 5, 9]",0,3.785714285714292,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,206.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,H018,鼓浪飛凡,1600,GOOD,B+2,14,13,120.0,1108,潘明輝,10,96.65,166.18249830872696,16.6025,-1.56,94.98,96.36,0.5524,1,4,"[25.13, 22.3, 24.03, 25.19]","[10, 9, 9, 10]",0,-5.214285714285708,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,H326,江南盛,1600,GOOD,B+2,14,5,120.0,1121,田泰安,11,97.07,165.46346411392258,16.5349,-2.03,95.28,96.02,0.5518,1,4,"[24.97, 22.58, 23.99, 25.53]","[8, 10, 12, 11]",0,-5.214285714285708,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,H385,發光發亮,1600,GOOD,B+2,14,3,128.0,1048,奧爾民,12,97.77,163.77526534016255,16.3817,-3.42,93.28,91.18,0.5577,1,4,"[24.33, 22.3, 24.15, 26.99]","[1, 1, 2, 12]",0,2.785714285714292,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,204.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,J371,風雲,1600,GOOD,B+2,14,11,135.0,1185,金誠剛,13,97.8,163.28456819254365,16.3878,-3.27,93.89,92.48,0.5555,1,4,"[24.49, 22.5, 24.07, 26.74]","[3, 4, 4, 13]",0,9.785714285714292,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_01,2026/01/01,SHA_TIN,ST,1,H420,銀皇興標,1600,GOOD,B+2,14,12,115.0,1160,巫顯東,14,98.55,163.2907934277797,16.2728,-3.54,93.52,91.88,0.553,1,4,"[24.57, 22.62, 24.19, 27.17]","[4, 5, 8, 14]",0,-10.214285714285708,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_02,2026/01/01,SHA_TIN,ST,2,K573,笑盈喜,1200,GOOD,B+2,14,9,128.0,1114,奧爾民,1,70.17,171.1448021837077,17.1013,-1.45,97.61,0.0,0.5412,1,3,"[23.98, 22.65, 23.54]","[1, 1, 1]",1,1.0714285714285694,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,1,0,153.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01_ST_02,2026/01/01,SHA_TIN,ST,2,H343,海藍寶,1200,GOOD,B+2,14,6,121.0,1081,紀仁安,2,70.19,171.55632513945662,17.1068,-1.48,97.42,0.0,0.541,1,3,"[24.06, 22.61, 23.52]","[2, 2, 2]",1,-5.928571428571431,-1,7.0,14,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,145.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
